Food Group,li_2007-08,hi_2007-08
"Fruit, total",117.36,120.73
"Apples, total",31.1,28.8
Apples ,11.91,13.89
Apple juice1,19.31,14.34
Bananas,9.47,10.9
Berries,5.46,7.38
Grapes,8.75,9.55
Melons,4.13,5.61
"Oranges, total",34.26,33.21
Oranges ,3.17,2.48
Orange juice2,31.11,30.71
Other citrus fruits,5.42,6.34
Stone fruits,5.87,7.78
Tropical fruits,6.37,5.28
"Vegetables, total",147.36,171.58
"Brassica, total",7.5,10.14
Broccoli and cauliflower,3.54,5.26
Carrots,3.44,4.51
Celery,2.51,2.93
Cucumbers,2.25,2.28
Green peas,1.7,1.77
"Leafy vegetables, total",0.68,1.02
Lettuce,10.95,15.77
Onions,7.59,9.04
Peppers,6.64,7.92
Tomatoes,28.14,32.14
Sweet corn,6.04,6.36
Potatoes,49.31,53.78
Snap beans,3.26,4.1
"Legumes, dried",5.46,5.58
"Dairy, total",201.9,217.71
"Fluid milk, total3",128.24,131.81
"Fluid milk, 1-percent fat3",13.46,17.03
"Fluid milk, 2-percent fat3",44.86,41.97
"Fluid milk, skim3",12.27,23.67
"Fluid milk, whole3",43.32,31.61
Butter,2.55,3.22
Cheese,19.01,23.62
Yogurt,6.3,9.26
"Dairy, other",9.5,13.28
"Meat, poultry, and fish, total",137.24,151.45
"Meat, total",75.28,81.3
Beef,44.84,47.61
Pork,29.96,32.75
"Poultry, total",53.83,59.31
Chicken,46.27,49.87
Turkey,7.45,9.51
Finfish and shellfish,8.48,10.6
Eggs4,18.61,19.22
"Grains, total",129.97,138.89
Corn flour,15.22,12.37
Oat flour,2.22,3.14
"Rice, dried",12.15,11.93
Wheat flour,91.09,100.56
"Fat and oils, total",60.63,67.99
Margarine,2.31,2.85
Salad and cooking oils,33.01,36.33
Shortening,9.48,10.35
"Oils, other",1.02,1.3
Caloric sweeteners,81.07,78.75
"Nuts, total",5.85,10.35
Peanuts,4.46,6.65
Tree nuts,1.44,3.66
